drug1,drug2,text,interacts,type
DDI-DrugBank.d362.s5.e0,DDI-DrugBank.d362.s5.e1,"Therefore, drug1 should be administered with caution with intranasal drug2",True,advise
DDI-DrugBank.d258.s0.e0,DDI-DrugBank.d258.s0.e1,"drug1 (10 mg once daily) has been coadministered with therapeutic doses of drug2, drug0, and drug0",False, 
DDI-DrugBank.d258.s0.e0,DDI-DrugBank.d258.s0.e2,"drug1 (10 mg once daily) has been coadministered with therapeutic doses of drug0, drug2, and drug0",False, 
DDI-DrugBank.d258.s1.e0,DDI-DrugBank.d258.s1.e1,"Although increased plasma concentrations (AUC 0-24 hrs) of drug1 and/or drug2 were observed following coadministration of drug0 with each of these drugs in normal volunteers (n = 24 in each study), there were no clinically relevant changes in the safety profile of drug0",False, 
DDI-DrugBank.d258.s1.e0,DDI-DrugBank.d258.s1.e2,"Although increased plasma concentrations (AUC 0-24 hrs) of drug1 and/or drug0 were observed following coadministration of drug2 with each of these drugs in normal volunteers (n = 24 in each study), there were no clinically relevant changes in the safety profile of drug0",False, 
DDI-DrugBank.d258.s3.e0,DDI-DrugBank.d258.s3.e1,No effects on plasma concentrations of drug1 or drug2,False, 
DDI-DrugBank.d258.s4.e0,DDI-DrugBank.d258.s4.e1,Plasma concentrations (AUC 0-24 hrs) of drug1 decreased 15% with coadministration of drug2 relative to that observed with drug0,True,mechanism
DDI-DrugBank.d258.s4.e0,DDI-DrugBank.d258.s4.e2,Plasma concentrations (AUC 0-24 hrs) of drug1 decreased 15% with coadministration of drug0 relative to that observed with drug2,False, 
DDI-DrugBank.d258.s4.e1,DDI-DrugBank.d258.s4.e2,Plasma concentrations (AUC 0-24 hrs) of drug0 decreased 15% with coadministration of drug1 relative to that observed with drug2,False, 
DDI-DrugBank.d258.s7.e0,DDI-DrugBank.d258.s7.e1,TABLE 1 Effects on Plasma Concentrations (AUC 0-24 hrs) of drug1 and drug2 After 10 Days of Coadministration (drug0,False, 
DDI-DrugBank.d258.s7.e0,DDI-DrugBank.d258.s7.e2,TABLE 1 Effects on Plasma Concentrations (AUC 0-24 hrs) of drug1 and drug0 After 10 Days of Coadministration (drug2,False, 
DDI-DrugBank.d258.s8.e0,DDI-DrugBank.d258.s8.e1,drug1 drug2,False, 
DDI-DrugBank.d258.s12.e0,DDI-DrugBank.d258.s12.e1,There does not appear to be an increase in adverse events in subjects who received oral drug1 and drug2,False, 
DDI-DrugBank.d492.s0.e0,DDI-DrugBank.d492.s0.e1,drug1 prolong and intensify the anticholinergic effects of drug2,True,effect
DDI-DrugBank.d492.s1.e0,DDI-DrugBank.d492.s1.e1,"drug1 may have additive effects with drug2 and other drug0, e.g., drug0, drug0, drug0, drug0",True,effect
DDI-DrugBank.d492.s1.e0,DDI-DrugBank.d492.s1.e2,"drug1 may have additive effects with drug0 and other drug2, e.g., drug0, drug0, drug0, drug0",True,effect
DDI-DrugBank.d492.s1.e0,DDI-DrugBank.d492.s1.e3,"drug1 may have additive effects with drug0 and other drug0, e.g., drug2, drug0, drug0, drug0",True,effect
DDI-DrugBank.d492.s1.e0,DDI-DrugBank.d492.s1.e4,"drug1 may have additive effects with drug0 and other drug0, e.g., drug0, drug2, drug0, drug0",True,effect
DDI-DrugBank.d492.s1.e0,DDI-DrugBank.d492.s1.e5,"drug1 may have additive effects with drug0 and other drug0, e.g., drug0, drug0, drug2, drug0",True,effect
DDI-DrugBank.d492.s1.e0,DDI-DrugBank.d492.s1.e6,"drug1 may have additive effects with drug0 and other drug0, e.g., drug0, drug0, drug0, drug2",True,effect
DDI-DrugBank.d492.s1.e1,DDI-DrugBank.d492.s1.e2,"drug0 may have additive effects with drug1 and other drug2, e.g., drug0, drug0, drug0, drug0",False, 
DDI-DrugBank.d492.s1.e1,DDI-DrugBank.d492.s1.e3,"drug0 may have additive effects with drug1 and other drug0, e.g., drug2, drug0, drug0, drug0",False, 
DDI-DrugBank.d350.s3.e0,DDI-DrugBank.d350.s3.e1,"Clinical studies in healthy volunteers show that the pharmacokinetics of drug1 are not altered by drug2, drug0, drug0, drug0, or drug0",False, 
DDI-DrugBank.d350.s3.e0,DDI-DrugBank.d350.s3.e2,"Clinical studies in healthy volunteers show that the pharmacokinetics of drug1 are not altered by drug0, drug2, drug0, drug0, or drug0",False, 
DDI-DrugBank.d350.s4.e0,DDI-DrugBank.d350.s4.e1,"drug1 has no effect on the pharmacokinetics of drug2, drug0",False, 
DDI-DrugBank.d350.s4.e0,DDI-DrugBank.d350.s4.e2,"drug1 has no effect on the pharmacokinetics of drug0, drug2",False, 
DDI-DrugBank.d350.s5.e0,DDI-DrugBank.d350.s5.e1,"drug1 reduced the blood AUC0-12 of drug2 by approximately 20%, peak blood concentration (Cmax) by 16%, and 12-hour blood concentration (C12hr) by 26% in healthy subjects when drug0 (2 doses of 0.1 mg/kg 12 hours apart) was administered on the 10th day of drug0 70 mg daily, as compared to results from a control period in which drug0",True,mechanism
DDI-DrugBank.d350.s5.e0,DDI-DrugBank.d350.s5.e2,"drug1 reduced the blood AUC0-12 of drug0 by approximately 20%, peak blood concentration (Cmax) by 16%, and 12-hour blood concentration (C12hr) by 26% in healthy subjects when drug2 (2 doses of 0.1 mg/kg 12 hours apart) was administered on the 10th day of drug0 70 mg daily, as compared to results from a control period in which drug0",False, 
DDI-DrugBank.d350.s5.e0,DDI-DrugBank.d350.s5.e3,"drug1 reduced the blood AUC0-12 of drug0 by approximately 20%, peak blood concentration (Cmax) by 16%, and 12-hour blood concentration (C12hr) by 26% in healthy subjects when drug0 (2 doses of 0.1 mg/kg 12 hours apart) was administered on the 10th day of drug2 70 mg daily, as compared to results from a control period in which drug0",False, 
DDI-DrugBank.d350.s6.e0,DDI-DrugBank.d350.s6.e1,"For patients receiving both therapies, standard monitoring of drug1 blood concentrations and appropriate drug2",False, 
DDI-DrugBank.d350.s7.e0,DDI-DrugBank.d350.s7.e1,"In two clinical studies, drug1 (one 4 mg/kg dose or two 3 mg/kg doses) increased the AUC of drug2",True,mechanism
DDI-DrugBank.d350.s8.e0,DDI-DrugBank.d350.s8.e1,drug1 did not increase the plasma levels of drug2,False, 
DDI-DrugBank.d350.s9.e0,DDI-DrugBank.d350.s9.e1,There were transient increases in liver ALT and AST when drug1 and drug2,True,effect
DDI-DrugBank.d350.s10.e0,DDI-DrugBank.d350.s10.e1,A drug-drug interaction study with drug1 in healthy volunteers has shown a 30% decrease in drug2,True,mechanism
DDI-DrugBank.d350.s11.e0,DDI-DrugBank.d350.s11.e1,Patients on drug1 should receive 70 mg of drug2,True,advise
DDI-DrugBank.d350.s12.e0,DDI-DrugBank.d350.s12.e1,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (drug1, drug2, drug0, drug0, or drug0) with drug0 may result in clinically meaningful reductions in drug0",False, 
DDI-DrugBank.d350.s12.e0,DDI-DrugBank.d350.s12.e2,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (drug1, drug0, drug2, drug0, or drug0) with drug0 may result in clinically meaningful reductions in drug0",False, 
DDI-DrugBank.d350.s12.e0,DDI-DrugBank.d350.s12.e5,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (drug1, drug0, drug0, drug0, or drug0) with drug2 may result in clinically meaningful reductions in drug0",True,mechanism
DDI-DrugBank.d350.s12.e1,DDI-DrugBank.d350.s12.e5,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (drug0, drug1, drug0, drug0, or drug0) with drug2 may result in clinically meaningful reductions in drug0",True,mechanism
DDI-DrugBank.d350.s12.e2,DDI-DrugBank.d350.s12.e5,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (drug0, drug0, drug1, drug0, or drug0) with drug2 may result in clinically meaningful reductions in drug0",True,mechanism
DDI-DrugBank.d350.s12.e3,DDI-DrugBank.d350.s12.e5,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (drug0, drug0, drug0, drug1, or drug0) with drug2 may result in clinically meaningful reductions in drug0",True,mechanism
DDI-DrugBank.d350.s12.e4,DDI-DrugBank.d350.s12.e5,"In addition, results from regression analyses of patient pharmacokinetic data suggest that co-administration of other inducers of drug clearance (drug0, drug0, drug0, drug0, or drug1) with drug2 may result in clinically meaningful reductions in drug0",True,mechanism
DDI-DrugBank.d350.s14.e0,DDI-DrugBank.d350.s14.e1,"When drug1 is co-administered with inducers of drug clearance, such as drug2, drug0, drug0, drug0, or drug0, use of a daily dose of 70 mg of drug0",True,advise
DDI-DrugBank.d350.s14.e0,DDI-DrugBank.d350.s14.e2,"When drug1 is co-administered with inducers of drug clearance, such as drug0, drug2, drug0, drug0, or drug0, use of a daily dose of 70 mg of drug0",True,advise
DDI-DrugBank.d350.s14.e0,DDI-DrugBank.d350.s14.e3,"When drug1 is co-administered with inducers of drug clearance, such as drug0, drug0, drug2, drug0, or drug0, use of a daily dose of 70 mg of drug0",True,advise
DDI-DrugBank.d350.s14.e0,DDI-DrugBank.d350.s14.e4,"When drug1 is co-administered with inducers of drug clearance, such as drug0, drug0, drug0, drug2, or drug0, use of a daily dose of 70 mg of drug0",True,advise
DDI-DrugBank.d350.s14.e0,DDI-DrugBank.d350.s14.e5,"When drug1 is co-administered with inducers of drug clearance, such as drug0, drug0, drug0, drug0, or drug2, use of a daily dose of 70 mg of drug0",True,advise
DDI-DrugBank.d350.s14.e0,DDI-DrugBank.d350.s14.e6,"When drug1 is co-administered with inducers of drug clearance, such as drug0, drug0, drug0, drug0, or drug0, use of a daily dose of 70 mg of drug2",False, 
DDI-DrugBank.d350.s14.e1,DDI-DrugBank.d350.s14.e2,"When drug0 is co-administered with inducers of drug clearance, such as drug1, drug2, drug0, drug0, or drug0, use of a daily dose of 70 mg of drug0",False, 
DDI-DrugBank.d69.s0.e0,DDI-DrugBank.d69.s0.e1,Use of drug1 in a patient who has previously received drug2,True,effect
DDI-DrugBank.d69.s1.e0,DDI-DrugBank.d69.s1.e1,drug1 should not be used in patients who have previously received the recommended maximum cumulative doses of drug2 or drug0,True,advise
DDI-DrugBank.d69.s1.e0,DDI-DrugBank.d69.s1.e2,drug1 should not be used in patients who have previously received the recommended maximum cumulative doses of drug0 or drug2,False, 
DDI-DrugBank.d69.s1.e1,DDI-DrugBank.d69.s1.e2,drug0 should not be used in patients who have previously received the recommended maximum cumulative doses of drug1 or drug2,False, 
DDI-DrugBank.d69.s2.e0,DDI-DrugBank.d69.s2.e1,drug1 used concurrently with drug2,True,effect
DDI-DrugBank.d205.s0.e0,DDI-DrugBank.d205.s0.e1,"Since drug1 (drug2) may interact with concurrently administered drug0, periodic serum level determinations of these drugs may be necessary (eg, drug0 may elevate drug0 serum levels and drug0 has been reported to both increase and decrease drug0",False, 
DDI-DrugBank.d205.s0.e0,DDI-DrugBank.d205.s0.e2,"Since drug1 (drug0) may interact with concurrently administered drug2, periodic serum level determinations of these drugs may be necessary (eg, drug0 may elevate drug0 serum levels and drug0 has been reported to both increase and decrease drug0",True,int
DDI-DrugBank.d205.s0.e0,DDI-DrugBank.d205.s0.e3,"Since drug1 (drug0) may interact with concurrently administered drug0, periodic serum level determinations of these drugs may be necessary (eg, drug2 may elevate drug0 serum levels and drug0 has been reported to both increase and decrease drug0",False, 
DDI-DrugBank.d205.s0.e1,DDI-DrugBank.d205.s0.e2,"Since drug0 (drug1) may interact with concurrently administered drug2, periodic serum level determinations of these drugs may be necessary (eg, drug0 may elevate drug0 serum levels and drug0 has been reported to both increase and decrease drug0",True,int
DDI-DrugBank.d205.s0.e3,DDI-DrugBank.d205.s0.e4,"Since drug0 (drug0) may interact with concurrently administered drug0, periodic serum level determinations of these drugs may be necessary (eg, drug1 may elevate drug2 serum levels and drug0 has been reported to both increase and decrease drug0",True,mechanism
DDI-DrugBank.d205.s0.e5,DDI-DrugBank.d205.s0.e6,"Since drug0 (drug0) may interact with concurrently administered drug0, periodic serum level determinations of these drugs may be necessary (eg, drug0 may elevate drug0 serum levels and drug1 has been reported to both increase and decrease drug2",True,mechanism
DDI-DrugBank.d190.s1.e0,DDI-DrugBank.d190.s1.e1,"However, since there is an increased risk of bleeding with drug1, caution should be employed when drug2",False, 
DDI-DrugBank.d190.s2.e0,DDI-DrugBank.d190.s2.e1,"Approximately 2/3 of the patients in the Phase 3 study received either prophylactic low dose drug1 (drug2 up to 15,000 units/day) or prophylactic doses of drug0",False, 
DDI-DrugBank.d190.s2.e0,DDI-DrugBank.d190.s2.e2,"Approximately 2/3 of the patients in the Phase 3 study received either prophylactic low dose drug1 (drug0 up to 15,000 units/day) or prophylactic doses of drug2",False, 
DDI-DrugBank.d190.s3.e0,DDI-DrugBank.d190.s3.e1,"Concomitant use of prophylactic low dose drug1 did not appear to affect safety, however, its effects on the efficacy of drug2",False, 
DDI-DrugBank.d190.s4.e0,DDI-DrugBank.d190.s4.e1,"Drug/Laboratory Test Interaction Because drug1 may affect the APTT assay, drug2",False, 
DDI-DrugBank.d276.s0.e0,DDI-DrugBank.d276.s0.e1,"drug1 containing drug2, when administered concomitantly with drug0",False, 
DDI-DrugBank.d276.s0.e0,DDI-DrugBank.d276.s0.e2,"drug1 containing drug0, when administered concomitantly with drug2",False, 
DDI-DrugBank.d276.s0.e1,DDI-DrugBank.d276.s0.e2,"drug0 containing drug1, when administered concomitantly with drug2",True,mechanism
DDI-DrugBank.d276.s1.e0,DDI-DrugBank.d276.s1.e1,The mechanism for this interaction probably is adsorption of drug1 onto the surface of drug2,True,mechanism
DDI-DrugBank.d276.s2.e0,DDI-DrugBank.d276.s2.e1,"drug1, such as drug2 and drug0, can inhibit renal tubular secretion of drug0",False, 
DDI-DrugBank.d276.s2.e0,DDI-DrugBank.d276.s2.e2,"drug1, such as drug0 and drug2, can inhibit renal tubular secretion of drug0",False, 
DDI-DrugBank.d276.s2.e0,DDI-DrugBank.d276.s2.e3,"drug1, such as drug0 and drug0, can inhibit renal tubular secretion of drug2",True,mechanism
DDI-DrugBank.d276.s2.e1,DDI-DrugBank.d276.s2.e3,"drug0, such as drug1 and drug0, can inhibit renal tubular secretion of drug2",True,mechanism
DDI-DrugBank.d276.s2.e2,DDI-DrugBank.d276.s2.e3,"drug0, such as drug0 and drug1, can inhibit renal tubular secretion of drug2",True,mechanism
DDI-DrugBank.d276.s3.e0,DDI-DrugBank.d276.s3.e1,"The resulting increase in drug1 serum levels may increase toxicity, and the decreased urinary levels could lessen its efficacy as a urinary tract drug2",False, 
DDI-DrugBank.d542.s0.e0,DDI-DrugBank.d542.s0.e1,Interactions for drug1 (drug2): drug0 Therapy: drug0 may potentiate the effects of drug0,False, 
DDI-DrugBank.d542.s0.e0,DDI-DrugBank.d542.s0.e2,Interactions for drug1 (drug0): drug2 Therapy: drug0 may potentiate the effects of drug0,False, 
DDI-DrugBank.d542.s0.e3,DDI-DrugBank.d542.s0.e4,Interactions for drug0 (drug0): drug0 Therapy: drug1 may potentiate the effects of drug2,True,effect
DDI-DrugBank.d542.s1.e0,DDI-DrugBank.d542.s1.e1,drug1: Concomitant drug2 may decrease the metabolic clearance of drug0,False, 
DDI-DrugBank.d542.s1.e0,DDI-DrugBank.d542.s1.e2,drug1: Concomitant drug0 may decrease the metabolic clearance of drug2,False, 
DDI-DrugBank.d542.s1.e1,DDI-DrugBank.d542.s1.e2,drug0: Concomitant drug1 may decrease the metabolic clearance of drug2,True,mechanism
DDI-DrugBank.d365.s0.e0,DDI-DrugBank.d365.s0.e1,drug1 - drug2 was observed to enhance (in tissue culture) the effect of drug0,False, 
DDI-DrugBank.d365.s0.e0,DDI-DrugBank.d365.s0.e2,drug1 - drug0 was observed to enhance (in tissue culture) the effect of drug2,False, 
DDI-DrugBank.d365.s0.e1,DDI-DrugBank.d365.s0.e2,drug0 - drug1 was observed to enhance (in tissue culture) the effect of drug2,True,effect
DDI-DrugBank.d365.s1.e0,DDI-DrugBank.d365.s1.e1,"drug1 and drug2 - Although not reported, drug0, via its metabolism to histamine, might decrease the efficacy of drug0 and drug0",False, 
DDI-DrugBank.d365.s1.e0,DDI-DrugBank.d365.s1.e2,"drug1 and drug0 - Although not reported, drug2, via its metabolism to histamine, might decrease the efficacy of drug0 and drug0",False, 
DDI-DrugBank.d365.s1.e2,DDI-DrugBank.d365.s1.e3,"drug0 and drug0 - Although not reported, drug1, via its metabolism to histamine, might decrease the efficacy of drug2 and drug0",True,effect
DDI-DrugBank.d365.s1.e2,DDI-DrugBank.d365.s1.e4,"drug0 and drug0 - Although not reported, drug1, via its metabolism to histamine, might decrease the efficacy of drug0 and drug2",True,effect
DDI-DrugBank.d549.s0.e0,DDI-DrugBank.d549.s0.e1,"In studies in normal volunteers, there was no pharmacodynamic interaction between intravenous drug1 and either drug2, drug0, or drug0",False, 
DDI-DrugBank.d549.s0.e0,DDI-DrugBank.d549.s0.e2,"In studies in normal volunteers, there was no pharmacodynamic interaction between intravenous drug1 and either drug0, drug2, or drug0",False, 
DDI-DrugBank.d549.s1.e0,DDI-DrugBank.d549.s1.e1,"However, drug1 has the potential to increase the hypotensive effect of drug2 and drug0",True,effect
DDI-DrugBank.d549.s1.e0,DDI-DrugBank.d549.s1.e2,"However, drug1 has the potential to increase the hypotensive effect of drug0 and drug2",True,effect
DDI-DrugBank.d549.s1.e1,DDI-DrugBank.d549.s1.e2,"However, drug0 has the potential to increase the hypotensive effect of drug1 and drug2",False, 
DDI-DrugBank.d549.s2.e0,DDI-DrugBank.d549.s2.e1,"Since drug1 inhibits platelet function, there is a potential for increased risk of bleeding, particularly in patients maintained on drug2",True,effect
DDI-DrugBank.d549.s3.e0,DDI-DrugBank.d549.s3.e1,"During clinical trials, drug1 was used concurrently with drug2, drug0, drug0, drug0, drug0, drug0, drug0, drug0",False, 
DDI-DrugBank.d549.s3.e0,DDI-DrugBank.d549.s3.e2,"During clinical trials, drug1 was used concurrently with drug0, drug2, drug0, drug0, drug0, drug0, drug0, drug0",False, 
DDI-DrugBank.d549.s4.e0,DDI-DrugBank.d549.s4.e1,Intravenous infusion of drug1 had no effect on the pharmacokinetics of drug2,False, 
DDI-DrugBank.d549.s5.e0,DDI-DrugBank.d549.s5.e1,drug1 did not alter the clearance (pharmacokinetics) of drug2,False, 
DDI-DrugBank.d507.s0.e0,DDI-DrugBank.d507.s0.e1,The potential for increased sedation when drug1 is given with other drug2,True,effect
DDI-DrugBank.d507.s1.e0,DDI-DrugBank.d507.s1.e1,The administration of drug1 concomitantly with known microsomal enzyme inducer (drug2 or drug0,True,mechanism
DDI-DrugBank.d507.s1.e0,DDI-DrugBank.d507.s1.e2,The administration of drug1 concomitantly with known microsomal enzyme inducer (drug0 or drug2,True,mechanism
DDI-DrugBank.d507.s1.e1,DDI-DrugBank.d507.s1.e2,The administration of drug0 concomitantly with known microsomal enzyme inducer (drug1 or drug2,False, 
DDI-DrugBank.d507.s4.e0,DDI-DrugBank.d507.s4.e1,drug1 decrease the hypotensive effect of drug2,True,effect
DDI-DrugBank.d507.s5.e0,DDI-DrugBank.d507.s5.e1,"drug1 (drug2,porpranolol,drug0) may exacerbate rebound hypertension when drug0",False, 
DDI-DrugBank.d507.s5.e0,DDI-DrugBank.d507.s5.e2,"drug1 (drug0,porpranolol,drug2) may exacerbate rebound hypertension when drug0",False, 
DDI-DrugBank.d507.s5.e0,DDI-DrugBank.d507.s5.e3,"drug1 (drug0,porpranolol,drug0) may exacerbate rebound hypertension when drug2",True,effect
DDI-DrugBank.d507.s5.e1,DDI-DrugBank.d507.s5.e3,"drug0 (drug1,porpranolol,drug0) may exacerbate rebound hypertension when drug2",True,effect
DDI-DrugBank.d507.s5.e2,DDI-DrugBank.d507.s5.e3,"drug0 (drug0,porpranolol,drug1) may exacerbate rebound hypertension when drug2",True,effect
DDI-DrugBank.d507.s7.e0,DDI-DrugBank.d507.s7.e1,The gradual withdrawal of drug1 or a drug2,False, 
DDI-DrugBank.d507.s8.e0,DDI-DrugBank.d507.s8.e1,drug1: Ten patients who were stabilized on oral drug2 were given drug0,False, 
DDI-DrugBank.d507.s8.e0,DDI-DrugBank.d507.s8.e2,drug1: Ten patients who were stabilized on oral drug0 were given drug2,False, 
DDI-DrugBank.d507.s10.e0,DDI-DrugBank.d507.s10.e1,"In several well-controlled studies, drug1 was administered together with drug2",False, 
DDI-DrugBank.d507.s12.e0,DDI-DrugBank.d507.s12.e1,"The principal drugs given (number of patients in parentheses) were: drug1 (115), drug2 and drug0 (103), drug0 (52), oral drug0 (45), cough and cold preparations (45), drug0 (38), drug0 (29), drug0 (24), oral drug0 (18), drug0 (13), drug0 (10), and drug0",False, 
DDI-DrugBank.d507.s12.e0,DDI-DrugBank.d507.s12.e2,"The principal drugs given (number of patients in parentheses) were: drug1 (115), drug0 and drug2 (103), drug0 (52), oral drug0 (45), cough and cold preparations (45), drug0 (38), drug0 (29), drug0 (24), oral drug0 (18), drug0 (13), drug0 (10), and drug0",False, 
DDI-DrugBank.d417.s0.e0,DDI-DrugBank.d417.s0.e1,drug1 should not be administered concomitantly with potent drug2 such as drug0 and drug0,True,advise
DDI-DrugBank.d417.s0.e0,DDI-DrugBank.d417.s0.e2,drug1 should not be administered concomitantly with potent drug0 such as drug2 and drug0,True,advise
DDI-DrugBank.d417.s0.e0,DDI-DrugBank.d417.s0.e3,drug1 should not be administered concomitantly with potent drug0 such as drug0 and drug2,True,advise
DDI-DrugBank.d417.s0.e1,DDI-DrugBank.d417.s0.e2,drug0 should not be administered concomitantly with potent drug1 such as drug2 and drug0,False, 
DDI-DrugBank.d417.s0.e1,DDI-DrugBank.d417.s0.e3,drug0 should not be administered concomitantly with potent drug1 such as drug0 and drug2,False, 
DDI-DrugBank.d112.s0.e0,DDI-DrugBank.d112.s0.e1,Concurrent use with drug1 or other drugs significantly eliminated by active renal tubular secretion may result in increased plasma concentrations of drug2,True,mechanism
DDI-DrugBank.d112.s1.e0,DDI-DrugBank.d112.s1.e1,The conversion of drug1 to drug2,False, 
DDI-DrugBank.d270.s9.e0,DDI-DrugBank.d270.s9.e1,The in vitro interaction between drug1 and the drug2 drug0,False, 
DDI-DrugBank.d270.s9.e0,DDI-DrugBank.d270.s9.e2,The in vitro interaction between drug1 and the drug0 drug2,True,int
DDI-DrugBank.d270.s9.e1,DDI-DrugBank.d270.s9.e2,The in vitro interaction between drug0 and the drug1 drug2,False, 
DDI-DrugBank.d270.s11.e0,DDI-DrugBank.d270.s11.e1,When drug1 is co-administered with drug2,True,advise
DDI-DrugBank.d270.s18.e0,DDI-DrugBank.d270.s18.e1,drug1 exposure was significantly decreased by drug2,True,mechanism
DDI-DrugBank.d270.s20.e0,DDI-DrugBank.d270.s20.e1,"Alternatives to drug1,such as drug2",False, 
DDI-DrugBank.d270.s24.e0,DDI-DrugBank.d270.s24.e1,drug1 and drug2,False, 
DDI-DrugBank.d270.s25.e0,DDI-DrugBank.d270.s25.e1,drug1 drug2,False, 
DDI-DrugBank.d270.s26.e0,DDI-DrugBank.d270.s26.e1,Oral drug1 and other hormonalmethods of birth control should not be usedas the sole method of contraception inwomen taking drug2,True,advise
DDI-DrugBank.d270.s36.e0,DDI-DrugBank.d270.s36.e1,drug1 and drug2 should not beadministered concomitantly becausedecreases in drug0,True,advise
DDI-DrugBank.d270.s36.e0,DDI-DrugBank.d270.s36.e2,drug1 and drug0 should not beadministered concomitantly becausedecreases in drug2,False, 
DDI-DrugBank.d270.s36.e1,DDI-DrugBank.d270.s36.e2,drug0 and drug1 should not beadministered concomitantly becausedecreases in drug2,False, 
DDI-DrugBank.d270.s37.e0,DDI-DrugBank.d270.s37.e1,drug1/drug2,False, 
DDI-DrugBank.d270.s39.e0,DDI-DrugBank.d270.s39.e1,A dose increase of drug1/drug2 to 533/133 mg twice daily with food isrecommended in combination with drug0,False, 
DDI-DrugBank.d270.s39.e0,DDI-DrugBank.d270.s39.e2,A dose increase of drug1/drug0 to 533/133 mg twice daily with food isrecommended in combination with drug2,True,advise
DDI-DrugBank.d270.s39.e1,DDI-DrugBank.d270.s39.e2,A dose increase of drug0/drug1 to 533/133 mg twice daily with food isrecommended in combination with drug2,True,advise
DDI-DrugBank.d270.s42.e0,DDI-DrugBank.d270.s42.e1,drug1 levels may be decreased; increased dosages may be required to prevent symptoms of drug2 withdrawal. drug0 maintained patients beginning drug0 therapy should be monitored forevidence of withdrawal and drug0,False, 
DDI-DrugBank.d270.s42.e0,DDI-DrugBank.d270.s42.e2,drug1 levels may be decreased; increased dosages may be required to prevent symptoms of drug0 withdrawal. drug2 maintained patients beginning drug0 therapy should be monitored forevidence of withdrawal and drug0,False, 
DDI-DrugBank.d270.s42.e2,DDI-DrugBank.d270.s42.e3,drug0 levels may be decreased; increased dosages may be required to prevent symptoms of drug0 withdrawal. drug1 maintained patients beginning drug2 therapy should be monitored forevidence of withdrawal and drug0,True,advise
DDI-DrugBank.d270.s45.e0,DDI-DrugBank.d270.s45.e1,The appropriate dose for drug1 incombination with drug2,False, 
DDI-DrugBank.d270.s53.e0,DDI-DrugBank.d270.s53.e1,drug1 and drug2 should not beadministered concomitantly becausedecreases in drug0,True,advise
DDI-DrugBank.d270.s53.e0,DDI-DrugBank.d270.s53.e2,drug1 and drug0 should not beadministered concomitantly becausedecreases in drug2,False, 
DDI-DrugBank.d270.s53.e1,DDI-DrugBank.d270.s53.e2,drug0 and drug1 should not beadministered concomitantly becausedecreases in drug2,False, 
DDI-DrugBank.d270.s54.e0,DDI-DrugBank.d270.s54.e1,Physicians needing to treatpatients co-infected with tuberculosis andusing a drug1 containing regimen mayuse drug2,False, 
DDI-DrugBank.d270.s58.e0,DDI-DrugBank.d270.s58.e1,"aBased on reports of narcotic withdrawal syndrome in patients treated with drug1 and drug2 concurrently, and evidence of decreased plasma concentrations of drug0",True,effect
DDI-DrugBank.d270.s58.e0,DDI-DrugBank.d270.s58.e2,"aBased on reports of narcotic withdrawal syndrome in patients treated with drug1 and drug0 concurrently, and evidence of decreased plasma concentrations of drug2",False, 
DDI-DrugBank.d270.s58.e1,DDI-DrugBank.d270.s58.e2,"aBased on reports of narcotic withdrawal syndrome in patients treated with drug0 and drug1 concurrently, and evidence of decreased plasma concentrations of drug2",False, 
DDI-DrugBank.d270.s63.e0,DDI-DrugBank.d270.s63.e1,"drug1, drug2, drug0",False, 
DDI-DrugBank.d270.s63.e0,DDI-DrugBank.d270.s63.e2,"drug1, drug0, drug2",False, 
DDI-DrugBank.d270.s65.e0,DDI-DrugBank.d270.s65.e1,"drug1, drug2, drug0",False, 
DDI-DrugBank.d270.s65.e0,DDI-DrugBank.d270.s65.e2,"drug1, drug0, drug2",False, 
DDI-DrugBank.d270.s69.e0,DDI-DrugBank.d270.s69.e1,"drug1, drug2, drug0",False, 
DDI-DrugBank.d270.s69.e0,DDI-DrugBank.d270.s69.e2,"drug1, drug0, drug2",False, 
DDI-DrugBank.d270.s75.e0,DDI-DrugBank.d270.s75.e1,"drug1, drug2, drug0",False, 
DDI-DrugBank.d270.s75.e0,DDI-DrugBank.d270.s75.e2,"drug1, drug0, drug2",False, 
DDI-DrugBank.d393.s0.e0,DDI-DrugBank.d393.s0.e1,"Pharmacokinetic interaction studies with drug1 in adults were conducted with drug2, drug0, drug0, drug0 and drug0",False, 
DDI-DrugBank.d393.s0.e0,DDI-DrugBank.d393.s0.e2,"Pharmacokinetic interaction studies with drug1 in adults were conducted with drug0, drug2, drug0, drug0 and drug0",False, 
DDI-DrugBank.d393.s2.e0,DDI-DrugBank.d393.s2.e1,"In a multiple dose study of drug1 (400 mg once daily for 3 days) and drug2 (20 mg once daily for 3 days), a 16% decrease in the clearance of drug0",True,mechanism
